,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
3271,298.0,이호테우해변,11,125,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,438.55795
3277,298.0,이호테우해변,11,131,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,434.0695
3270,298.0,이호테우해변,11,124,2022-09-10,24.08333333333333,26,23,30,4,2022-09-10 00:00:00,September,5,fall,,,426.65762
1946,177.0,성산일출봉,2,32,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,423.1794
1945,177.0,성산일출봉,2,31,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,422.43076
1939,177.0,성산일출봉,2,25,2022-09-10,25.0,26,24,30,4,2022-09-10 00:00:00,September,5,fall,,,421.62653
291,27.0,곽지해수욕장,7,82,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,420.5989
295,27.0,곽지해수욕장,7,86,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,420.52048
294,27.0,곽지해수욕장,7,85,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,419.16315
1941,177.0,성산일출봉,2,27,2022-09-12,25.0,27,23,40,4,2022-09-12 00:00:00,September,0,fall,,,417.76556
1943,177.0,성산일출봉,2,29,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,417.46735
1944,177.0,성산일출봉,2,30,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,416.3298
290,27.0,곽지해수욕장,7,81,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,415.9557
3276,298.0,이호테우해변,11,130,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,414.6305
3272,298.0,이호테우해변,11,126,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,411.7788
292,27.0,곽지해수욕장,7,83,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,410.3055
3275,298.0,이호테우해변,11,129,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,407.36813
293,27.0,곽지해수욕장,7,84,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,405.25186
1936,177.0,성산일출봉,2,22,2022-09-07,23.4,24,23,0,4,2022-09-07 00:00:00,September,2,fall,,,405.06024
2500,228.0,아르떼뮤지엄제주,7,80,2022-09-10,24.0,26,22,30,4,2022-09-10 00:00:00,September,5,fall,,,398.68423
2507,228.0,아르떼뮤지엄제주,7,87,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,390.34457
3274,298.0,이호테우해변,11,128,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,388.73114
2503,228.0,아르떼뮤지엄제주,7,83,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,379.88092
3268,298.0,이호테우해변,11,122,2022-09-08,24.5,27,22,20,4,2022-09-08 00:00:00,September,3,fall,,,379.61368
3269,298.0,이호테우해변,11,123,2022-09-09,24.25,26,22,20,4,2022-09-09 00:00:00,September,4,fall,,,376.65628
4877,444.0,한라산둘레길사려니숲길,8,92,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,376.1368
1938,177.0,성산일출봉,2,24,2022-09-09,24.33333333333333,25,23,30,4,2022-09-09 00:00:00,September,4,fall,,,356.2338
3267,298.0,이호테우해변,11,121,2022-09-07,23.4,24,23,0,4,2022-09-07 00:00:00,September,2,fall,,,355.1892
4883,444.0,한라산둘레길사려니숲길,8,98,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,348.7203
1885,172.0,섭지코지,2,26,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,348.3241
3273,298.0,이호테우해변,11,127,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,348.21384
