title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
한라산둘레길사려니숲길,8,444.0,2022-09-16,26.0,28,24,40,4,330.02527
한라산둘레길사려니숲길,8,444.0,2022-09-14,26.0,28,24,40,4,329.80548
한라산둘레길사려니숲길,8,444.0,2022-09-15,26.0,28,24,40,4,328.66794
아르떼뮤지엄제주,7,228.0,2022-09-11,25.0,27,23,40,4,328.06677
오설록티뮤지엄,3,256.0,2022-09-16,26.0,28,24,40,4,327.31223
한라산둘레길사려니숲길,8,444.0,2022-09-12,25.5,27,24,40,4,327.1214
아르떼뮤지엄제주,7,228.0,2022-09-12,25.5,27,24,40,4,326.1774
아르떼뮤지엄제주,7,228.0,2022-09-16,26.0,28,24,40,4,326.09897
아르떼뮤지엄제주,7,228.0,2022-09-14,26.0,28,24,40,4,324.55676
섭지코지,2,172.0,2022-09-12,25.0,27,23,40,4,324.1404
오설록티뮤지엄,3,256.0,2022-09-14,26.0,28,24,40,4,324.082
섭지코지,2,172.0,2022-09-16,25.0,27,23,40,4,322.28177
아르떼뮤지엄제주,7,228.0,2022-09-15,26.0,28,24,40,4,322.0404
섭지코지,2,172.0,2022-09-14,26.0,28,24,40,4,321.59265
오설록티뮤지엄,3,256.0,2022-09-11,25.0,27,23,40,4,321.4955
섭지코지,2,172.0,2022-09-15,26.0,28,24,40,4,320.4551
오설록티뮤지엄,3,256.0,2022-09-10,24.83333333333333,28,22,30,4,317.6246
곽지해수욕장,7,27.0,2022-09-10,24.0,26,22,30,4,313.38928
오설록티뮤지엄,3,256.0,2022-09-12,25.5,27,24,40,4,312.93338
오설록티뮤지엄,3,256.0,2022-09-15,26.0,28,24,40,4,310.52542
오설록티뮤지엄,3,256.0,2022-09-09,24.291666666666668,28,21,20,4,309.09378
오설록티뮤지엄,3,256.0,2022-09-07,22.8,23,22,0,4,304.1786
오설록티뮤지엄,3,256.0,2022-09-13,25.5,27,24,80,4,295.32455
오설록티뮤지엄,3,256.0,2022-09-08,24.58333333333333,28,21,20,4,292.53436
한라산둘레길사려니숲길,8,444.0,2022-09-09,22.875,25,21,30,4,290.627
한라산둘레길사려니숲길,8,444.0,2022-09-08,23.125,25,21,20,4,290.3731
한라산둘레길사려니숲길,8,444.0,2022-09-07,22.2,23,22,0,4,287.8722
곽지해수욕장,7,27.0,2022-09-09,23.5,26,21,20,4,287.84293
섭지코지,2,172.0,2022-09-07,23.4,24,23,0,4,287.59604
곽지해수욕장,7,27.0,2022-09-08,23.541666666666668,26,21,20,4,286.71295
아르떼뮤지엄제주,7,228.0,2022-09-09,23.5,26,21,20,4,286.6618
섭지코지,2,172.0,2022-09-10,25.0,26,24,30,4,286.2543
성산일출봉,2,177.0,2022-09-13,25.0,27,23,80,4,284.4381
아르떼뮤지엄제주,7,228.0,2022-09-08,23.541666666666668,26,21,20,4,284.32516
금오름,10,45.0,2022-09-08,23.541666666666668,27,20,20,4,283.0734
